tis1099_district_code,parent_province_tis1099_code,name_en,name_th,centroid_lat,centroid_lon,area_km2,bbox_minlat,bbox_minlon,bbox_maxlat,bbox_maxlon,num_tambon,postal_code_prefixes,notes
8412,84,Ban Na San,บ้านนาสาร,8.80646,99.39955,741.8,8.66861,99.22912,8.9968,99.55583,11,8412|8427,
8413,84,Ban Na Doem,บ้านนาเดิม,8.89532,99.27379,219.9,8.82071,99.19323,8.96591,99.35517,4,8424,
8414,84,Khian Sa,เคียนซา,8.7408,99.11108,666.9,8.64225,98.89752,8.88606,99.27959,5,8421|8426,
8415,84,Wiang Sa,เวียงสระ,8.59916,99.35435,374.9,8.47073,99.25128,8.69691,99.49203,5,8419,
8416,84,Phrasaeng,พระแสง,8.56756,99.11137,759.8,8.31256,98.88798,8.71767,99.29343,7,8421,
8417,84,Phunphin,พุนพิน,9.02974,99.15204,922.3,8.8035,99.01128,9.24397,99.32193,16,8413,
8418,84,Chai Buri,ชัยบุรี,8.44931,99.06801,436.3,8.36228,98.93463,8.55789,99.20503,4,8435,
8419,84,Chai Buri,วิภาวดี,9.2406,98.85415,450.5,9.12843,98.6561,9.3607,99.02656,2,8418,
8501,85,Mueang Ranong,เมืองระนอง,9.88191,98.61663,754.7,9.61589,98.485,10.17867,98.74471,9,8500|8513,
8502,85,La-Un,ละอุ่น,10.07832,98.7824,579.1,9.91596,98.67369,10.22902,98.90297,7,8513,
8503,85,Papoe,กะเปอร์,9.55853,98.62119,516.9,9.44869,98.49144,9.71356,98.76361,5,8512,
8504,85,Kra Buri,กระบุรี,10.45448,98.84679,920.8,10.20437,98.70614,10.78416,98.96487,7,8511,
8505,85,Suk Samran,สุขสำราญ,9.41345,98.52037,466.6,9.3089,98.39047,9.56334,98.66945,2,8512,
8601,86,Mueang Chumphon,เมืองชุมพร,10.46248,99.10646,762.9,10.31136,98.89436,10.57874,99.28388,17,8600|8610|8612|8619,
8602,86,Tha Sae,ท่าแซะ,10.7707,99.09422,1519.6,10.53959,98.88538,11.03371,99.27601,10,8614|8619,
8603,86,Pathio,ปะทิว,10.80725,99.3389,751.2,10.55199,99.20327,10.9918,99.51936,7,8616|8621|8623,
8604,86,Lang Suan,หลังสวน,9.93861,99.04245,587.9,9.79803,98.88195,10.06894,99.16553,13,8611|8615,
8605,86,Lamae,ละแม,9.75628,99.02276,404.1,9.68144,98.88085,9.84885,99.15931,4,8617,
8606,86,Phato,พะโต๊ะ,9.80869,98.79361,845.4,9.60088,98.63033,10.00483,98.97834,4,8618,
8607,86,Sawi,สวี,10.2446,99.01652,845.8,10.05464,98.83553,10.42293,99.22409,11,8613,
8608,86,Thung Tako,ทุ่งตะโก,10.09539,99.05281,327.8,10.01317,98.92264,10.17159,99.17548,4,8622,
9001,90,Muaeng Songkhla,เมืองสงขลา,7.12992,100.59132,198.5,7.0187,100.46221,7.2232,100.67375,6,9000|9010,
9002,90,Sathing Phra,สทิงพระ,7.48683,100.41502,195.0,7.3618,100.35568,7.62199,100.48108,11,9019,
9003,90,Chana,จะนะ,6.89982,100.70435,647.4,6.7493,100.59206,7.10147,100.82548,14,9013,
9004,90,Na Thawi,นาทวี,6.63847,100.67501,779.9,6.44293,100.54502,6.79738,100.81088,10,9016,
9005,90,Thepha,เทพา,6.78545,100.91156,676.5,6.63553,100.79389,6.95167,101.0661,7,9015|9026,
